sample_collect_date,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30
2022-06-14,,,,,,,,,,,,
2022-06-21,,,,,,,,,,,,
2022-06-28,,,,,,,,,,,,
2022-07-05,,,,,,,,,,,,
2022-07-12,,,,,,,,,,,,
2022-07-19,,,,,,,,,,,,
2022-07-26,,,,,,,,,10.273684050013424,,,
2022-08-02,,,,,,,,,10.180615257752082,10.241350723971145,,
2022-08-09,,,,,,,,,10.087546465490743,10.092711529162287,10.055313503950993,
2022-08-16,,,,,,,,,,9.944072334353427,9.947802791213858,9.957437118297129
2022-08-23,,,,,,,,,,,9.840292078476722,9.850960535800608
2022-08-30,,,,,,,,,,,,9.744483953304089
