sample_collect_date,2022-10-03,2022-10-05,2022-10-10,2022-10-12,2022-10-16,2022-10-19,2022-10-23,2022-10-25,2022-10-30,2022-11-01,2022-11-07,2022-11-09,2022-11-13,2022-11-15,2022-11-27,2022-11-29,2022-12-04,2022-12-07,2022-12-11,2022-12-14,2022-12-25,2022-12-28,2023-01-01,2023-01-04,2023-01-08,2023-01-10,2023-01-15,2023-01-19,2023-01-22,2023-01-24,2023-01-29,2023-02-01,2023-02-05,2023-02-08,2023-02-12,2023-02-14,2023-02-19,2023-02-21,2023-02-26,2023-03-01,2023-03-06,2023-03-07,2023-03-13,2023-03-14,2023-03-19,2023-03-21,2023-03-27,2023-03-28,2023-04-02,2023-04-05,2023-04-09,2023-04-12,2023-04-16,2023-04-19,2023-04-24,2023-04-26,2023-05-01,2023-05-02,2023-05-07,2023-05-09,2023-05-14,2023-05-16,2023-05-21,2023-05-23,2023-05-28,2023-05-31,2023-06-04,2023-06-06,2023-06-11,2023-06-13,2023-06-18,2023-06-20,2023-06-25,2023-06-28,2023-07-03,2023-07-04,2023-07-09,2023-07-11,2023-07-16,2023-07-18,2023-07-23,2023-07-25,2023-07-30,2023-08-02,2023-08-06,2023-08-08,2023-08-13,2023-08-15,2023-08-20,2023-08-22,2023-08-27,2023-08-29
2022-10-03,,,,,11.949796776532807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05,,,,,11.792411896623937,11.60742908991125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,11.398949696851764,11.524583956891895,11.272635253918335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-12,,,,,11.241564816942894,11.491445903684152,11.332776845273392,11.14116629997789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,,,,,10.926795057125155,11.42516979726867,11.453060027983504,11.237674283499487,11.65264234636181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,,,,,,11.375462717457056,11.543272415016089,11.310055271140685,11.408146502702165,12.017387864780428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,,,,,,,11.663555597726203,11.406563254662283,11.082152044489304,11.414953623560212,10.968816937136824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,,,,,,,,11.454817246423081,10.919154815382873,11.113736502950106,10.961203549508669,10.601363545397017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,,,,,,,,,10.511661742616798,10.360693701424836,10.94217008043828,10.601800297267074,10.112361338016843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,,,,10.059476580814728,10.934556692810126,10.601974998015097,10.2985540734489,10.32413105425083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,10.91171652992566,10.602499100259164,10.857132279745068,10.888708978688397,11.01900367853737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,,,,,,,,,,,,10.602673801007187,11.043325015177125,11.076901620167586,11.13659679847385,10.782611918193632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13,,,,,,,,,,,,,11.415710486041238,11.453286903125965,11.371783038346807,11.089865975393984,11.704381974696542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,,,,,,,,,,,,,,11.641479544605154,11.489376158283287,11.24349300399416,11.749940204895378,11.744299389224356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,,,,,,,,,,,,,,,12.194934877902162,12.165255175595213,12.023289586088389,12.034848143718582,12.10548021803324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,,,,,,,,,,,,,,,,12.31888220419539,12.068847816287224,12.083272936134286,12.121441711631507,12.020937056248176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,,,,,,,,,,,,,,,,,12.182743391784314,12.204334917173547,12.161345445627175,12.173705182798113,12.11790730601266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,,,,,,,,,,,,,,,,,,12.276972105797103,12.185287686024576,12.265366058728075,12.228878835711745,12.345449879391134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,,,,,,,,,,,,,,,,,,,12.217210673221112,12.387580559968026,12.376840875310528,12.384493280064751,12.444547264652092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,,,,,,,,,,,,,,,,,,,,12.479241435897988,12.487812405009615,12.413775830569964,12.444371195552996,12.698066591302572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-25,,,,,,,,,,,,,,,,,,,,,12.894708013906264,12.521145182422408,12.443725608856312,12.546057270999249,12.533106217716465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,,,,,,,,,,,,,,,,,,,,,,12.550427732927622,12.443549539757216,12.504600183643797,12.526567106565889,12.277579758187994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,12.443314780958422,12.44932406716986,12.517848291698455,12.350280891130064,12.47922030371462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,12.407866979814408,12.511309180547878,12.404806740836618,12.449991990901205,12.576523480894886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,12.502590365680442,12.477507873778688,12.411020907149986,12.48132059823902,12.48163279436583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,12.513858440249722,12.391535365274375,12.433719156911087,12.443583030369254,12.29954861816488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
