sample_collect_date,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30
2022-06-14,,,,,,,,,,,,
2022-06-21,,,,,,,,,,,,
2022-06-28,,,,,,,,,,,,
2022-07-05,,,,,,,,,,,,
2022-07-12,,,,,,,,,,,,
2022-07-19,,,,,,,,,,,,
2022-07-26,,,,,,,,,,,10.287903217944384,
2022-08-02,,,,,,,,,,,10.177943576983221,10.219747972808731
2022-08-09,,,,,,,,,,,10.06798393602206,10.096199519339153
2022-08-16,,,,,,,,,,,9.958024295060898,9.972651065869574
2022-08-23,,,,,,,,,,,9.848064654099735,9.849102612399996
2022-08-30,,,,,,,,,,,,9.725554158930416
