report_date,week_end_date,geography_type,geography_name,vdh_health_region,facility_type,count_of_cli_visits,percent_of_cli_visits,st_date
2023-04-18,2020-03-07,Health District,Alexandria,Northern Region,Emergency Department,44,5,2020-03-01
2023-04-18,2020-03-14,Health District,Alexandria,Northern Region,Emergency Department,85,10,2020-03-08
2023-04-18,2020-03-21,Health District,Alexandria,Northern Region,Emergency Department,100,14,2020-03-15
2023-04-18,2020-03-28,Health District,Alexandria,Northern Region,Emergency Department,90,15,2020-03-22
2023-04-18,2020-04-04,Health District,Alexandria,Northern Region,Emergency Department,81,16,2020-03-29
2023-04-18,2020-04-11,Health District,Alexandria,Northern Region,Emergency Department,88,18,2020-04-05
2023-04-18,2020-04-18,Health District,Alexandria,Northern Region,Emergency Department,99,21,2020-04-12
2023-04-18,2020-04-25,Health District,Alexandria,Northern Region,Emergency Department,100,20,2020-04-19
2023-04-18,2020-05-02,Health District,Alexandria,Northern Region,Emergency Department,99,19,2020-04-26
2023-04-18,2020-05-09,Health District,Alexandria,Northern Region,Emergency Department,116,22,2020-05-03
2023-04-18,2020-05-16,Health District,Alexandria,Northern Region,Emergency Department,91,18,2020-05-10
2023-04-18,2020-05-23,Health District,Alexandria,Northern Region,Emergency Department,62,12,2020-05-17
2023-04-18,2020-05-30,Health District,Alexandria,Northern Region,Emergency Department,50,9,2020-05-24
2023-04-18,2020-06-06,Health District,Alexandria,Northern Region,Emergency Department,33,6,2020-05-31
2023-04-18,2020-06-13,Health District,Alexandria,Northern Region,Emergency Department,34,6,2020-06-07
2023-04-18,2020-06-20,Health District,Alexandria,Northern Region,Emergency Department,22,4,2020-06-14
2023-04-18,2020-06-27,Health District,Alexandria,Northern Region,Emergency Department,26,4,2020-06-21
2023-04-18,2020-07-04,Health District,Alexandria,Northern Region,Emergency Department,38,6,2020-06-28
2023-04-18,2020-07-11,Health District,Alexandria,Northern Region,Emergency Department,39,6,2020-07-05
2023-04-18,2020-07-18,Health District,Alexandria,Northern Region,Emergency Department,44,7,2020-07-12
2023-04-18,2020-07-25,Health District,Alexandria,Northern Region,Emergency Department,42,7,2020-07-19
2023-04-18,2020-08-01,Health District,Alexandria,Northern Region,Emergency Department,29,5,2020-07-26
2023-04-18,2020-08-08,Health District,Alexandria,Northern Region,Emergency Department,37,6,2020-08-02
2023-04-18,2020-08-15,Health District,Alexandria,Northern Region,Emergency Department,38,6,2020-08-09
2023-04-18,2020-08-22,Health District,Alexandria,Northern Region,Emergency Department,32,5,2020-08-16
2023-04-18,2020-08-29,Health District,Alexandria,Northern Region,Emergency Department,34,5,2020-08-23
