District,Intersect_Pop,Fraction
Fairfax,1185393,1.0
Prince William,542443,1.000000001
Virginia Beach,457520,1.0
Loudoun,426243,0.9999999996000001
Chesterfield,420714,1.0
Rappahannock,391511,1.0
Peninsula,361128,1.0
Henrico,334279,1.0
Central Shenandoah,304646,0.9999999999999999
Central Virginia,262473,1.0
Blue Ridge,261545,1.0
Chesapeake,252747,1.0
Lord Fairfax,246186,1.0
Norfolk,231544,1.0
Arlington,229118,1.0
Richmond,224371,1.0
Rappahannock Rapidan,185833,0.9999999997000001
Mount Rogers,185448,1.0
Alleghany,182588,1.0
New River,180799,1.0
Chickahominy,168392,0.9999999996
Crater,161687,1.0
Western Tidewater,161131,1.0
Alexandria,152620,1.0
Three Rivers,141151,1.0
Hampton,138929,1.0
West Piedmont,136366,1.0
Pittsylvania-Danville,102226,1.0
Piedmont,100713,1.0
Cumberland Plateau,99331,1.0
Roanoke,97498,1.0
Portsmouth,97366,1.0
Lenowisco,82453,1.0
Southside,79966,1.0
Eastern Shore,45204,0.9999999999999999
